?,adjacent water of Hanrim,Almirante Bay,Balayan Bay,Bohai Sea,Club de Yates,Coral Sea,East China Sea,Gulf of Mexico,Gulf of Thailand,Howe Sound/Sunshine Coast,Korea Straight,Mozambique Channel,North Sea,Queen Charlotte Islands,Queen Charlotte Sound,San Pedro Shelf,Skagerrak Straight,South Atlantic Ocean,South China Sea,South Pacific Ocean,South San Diego Shelf,Tonkin Gulf,Verde Island Passage,Yellow Sea,ambig,taxa
0,0,0,0,0,0,0.6122448979591837,0,0,0,0,0,0,0.3877551020408163,0,0,0,0,0,0,0,0,0,0,0,FALSE,HM542255_1_Luidia_foliolata_voucher_NEOCAL07_0112
0,0,0,0,0,0,0.6122448979591837,0,0,0,0,0,0,0.3877551020408163,0,0,0,0,0,0,0,0,0,0,0,FALSE,HM542258_1_Luidia_foliolata_voucher_NEOCAL07_0115
0,0,0,0,0,0,0.27522935779816515,0,0,0,0,0.27522935779816515,0,0.44954128440366975,0,0,0,0,0,0,0,0,0,0,0,FALSE,HM542259_1_Luidia_foliolata_voucher_NEOCAL07_0121
0,0,0,0,0,0,0.5632183908045977,0,0,0,0,0,0,0.21839080459770116,0,0,0,0,0,0,0.21839080459770116,0,0,0,0,FALSE,HM473921_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_24123
0,0,0,0,0,0,0,0,0.30434782608695654,0,0,0,0,0.29347826086956524,0,0,0,0,0.40217391304347827,0,0,0,0,0,0,FALSE,HM473923_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_23991
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,HM473924_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_23992
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,HM473926_Luidia_foliolata_voucher_BIOUG_CAN_HLC_24194
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,HM473925_1_Luidia_foliolata_voucher_BIOUG_CAN_HLC_23993
0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0.14285714285714285,0,0,0.14285714285714285,0,TRUE,MN730752_1_Asteroidea_sp_RCMBAR2352
0,0.05263157894736842,0.05263157894736842,0.21052631578947367,0,0,0,0.21052631578947367,0,0,0,0,0,0,0,0,0,0.05263157894736842,0,0,0.21052631578947367,0,0,0.21052631578947367,0,TRUE,MN730685_1_Asteroidea_sp_RCMBAR224
0,0.025,0.025,0.275,0,0,0,0.275,0,0,0,0,0,0,0,0,0,0.025,0,0,0.275,0,0,0.1,0,TRUE,MN730689_1_Asteroidea_sp_RCMBAR2024
0,0.013157894736842105,0.013157894736842105,0.14473684210526316,0,0,0,0.3815789473684211,0,0,0,0,0,0,0,0,0,0.013157894736842105,0,0,0.3815789473684211,0,0,0.05263157894736842,0,TRUE,MN730736_1_Asteroidea_sp_RCMBAR1265
0,0,0,0,0,0,0,0.2761904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0.7238095238095238,0,0,0,0,FALSE,MN730674_1_Asteroidea_sp_RCMBAR2027
0,0,0,0,0,0.15104166666666666,0,0.15104166666666666,0,0,0,0,0.15104166666666666,0,0,0,0,0,0,0,0.546875,0,0,0,0,FALSE,FWRI_I_00035_Luidia_alternata
