Accession,Country,Region,Body_of_Water,Larva_or_Adult,Body_of_Water_formatted
MN730878_1_Asteroidea_sp_RCMBAR574,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730880_1_Asteroidea_sp_RCMBAR086,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730883_1_Asteroidea_sp_RCMBAR1302,Panama,Panama,Panama_Bay,larva,Panama Bay
MN730889_1_Asteroidea_sp_RCMBAR2352,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730899_1_Asteroidea_sp_RCMB0268,Panama,Panama,Panama_Bay,larva,Panama Bay
MN730913_1_Asteroidea_sp_RCMBAR092,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MN730916_1_Asteroidea_sp_RCMBAR2351,Panama,Bocas_Del_Toro,Almirante_Bay,larva,Almirante Bay
MT396682_1_Luidia_hardwicki_voucher_G4,Iran,Persian_Gulf_Northern_Islands,Persian_Gulf,adult,Persian Gulf
MT396683_1_Luidia_hardwicki_voucher_C6,Iran,Persian_Gulf_Northern_Islands,Persian_Gulf,adult,Persian Gulf
MT444494_1_Luidia_maculata_voucher_SS_0354,Singapore,?,?,?,?
EU722960_Dipsacaster_borealis_voucher_CASIZ_143420,USA,Alaska:_Aleutian_Islands,Bering_Sea,?,Bering Sea
UF_17286_Luidia_magnifica_12S-16S,Thailand,Ko_Man_Klang,Gulf_of_Thailand,adult,Gulf of Thailand
UF_17309_Luidia_magnifica_12S-16S,Thailand,Chon_Buri,Gulf_of_Thailand,adult,Gulf of Thailand
